"Collection Name","Title#1","Creator#1","CreatorLink#1","Creator#2","CreatorLink#2","Publisher#1","PublisherLink#1","Contributor#1","Contributor#2","Scientific Name#1","Higher Classification#1","Higher Classification Source#1","Scientific Name#2","Higher Classification#2","Higher Classification Source#2","Scientific Name#3","Higher Classification#3","Higher Classification Source#3","Scientific Name#4","Higher Classification#4","Higher Classification Source#4","Scientific Name#5","Higher Classification#5","Higher Classification Source#5","Description#1","Description#2","Description#3","Description#4","Description#5","Date#1","Date#2","Type#1","TypeLink#1","Format#1","FormatLink#1","Format#2","FormatLink#2","Format#3","FormatLink#3","Coverage#1","CoverageLink#1","Coverage#2","CoverageLink#2","Coverage#3","CoverageLink#3","Subject#1","SubjectLink#1","Subject#10","SubjectLink#10","Subject#11","SubjectLink#11","Subject#12","SubjectLink#12","Subject#13","SubjectLink#13","Subject#2","SubjectLink#2","Subject#3","SubjectLink#3","Subject#4","SubjectLink#4","Subject#5","SubjectLink#5","Subject#6","SubjectLink#6","Subject#7","SubjectLink#7","Subject#8","SubjectLink#8","Subject#9","SubjectLink#9","Identifier ARK#1","Identifier#2","Language#1","LanguageLink#1","Relation#1","RelationLink#1","Relation#2","Relation#3","Rights#1","RightsLink#1","ln_RECORDID","ln_RECORD_BATCHID","lnexp_MEDIAFILENAME","lnexp_PAGEURL","lnexp_IMAGEURL:4"
"Theodore Dru Alison Cockerell Papers","Guests of the flowers","Niedrach, Robert J., filmmaker","http://id.loc.gov/authorities/names/no00027492","","","","","","","Nomia bakeri","Animalia | Arthropoda | Insecta | Hymenoptera | Halictidae","GBIF","Bembix","Animalia | Arthropoda | Insecta | Hymenoptera | Crabronidae","GBIF","Diadasia australis","Animalia | Arthropoda | Insecta | Hymenoptera | Apidae","GBIF","Anthophora occidentalis","Animalia | Arthropoda | Insecta | Hymenoptera | Apidae","GBIF","Melitoma grisella","Animalia | Arthropoda | Insecta | Hymenoptera | Apidae","GBIF","The following species are introduced on title cards: Nomia bakeri, Bembix spp., Diadasia australis, Anthophora occidentalis, Melitoma grisella. Theodore Cockerell makes a cameo appearance in this film. Duration: 9 minutes 58 seconds. Title in finding aid: Bees Nesting. Labeled on canister, in part: Bees nesting, orig, Haselton.","Box 96, Film 2.","","","","Undated","","MovingImage","http://purl.org/dc/dcmitype/MovingImage","motion pictures (visual works)","http://vocab.getty.edu/aat/300136900","black-and-white film","http://vocab.getty.edu/aat/300127344","video/mp4","","Florissant Fossil Beds National Monument (Colo.)","http://id.loc.gov/authorities/subjects/sh2004003365","","","","","Cockerell, Theodore D. A. (Theodore Dru Alison), 1866-1948","http://id.loc.gov/authorities/names/n88619263","","","","","","","","","Naturalists--Colorado","http://id.loc.gov/authorities/subjects/sh85090273","Paleontology--Colorado--Teller County","http://id.loc.gov/authorities/subjects/sh85097123","","","","","","","","","","","","","https://ark.colorado.edu/ark:/47540/hq001321w961","Cockerell_96-2_Bees_Nesting.mp4","English","http://id.loc.gov/vocabulary/iso639-2/eng","","Finding aid: https://rmoa.unm.edu/docviewer.php?docId=cou2cockerell.xml","","","Copyright and other restrictions may apply. User is responsible for compliance with all applicable laws. For information about copyright law, please see https://www.cusys.edu/DigitalLibrary/copyright.html.","","247","4847","Cockerell_96-2_Bees_Nesting.mp4","https://cudl.colorado.edu//luna/servlet/detail/CUB~11~11~247~147601","https://cudl.colorado.edu/MediaManager/srvr?mediafile=/VIDEO/CUB~11~11/4482/Cockerell_96-2_Bees_Nesting.mp4"
"Theodore Dru Alison Cockerell Papers","Letter from J. A. Allen to Theodore Cockerell","Allen, J. A. (Joel Asaph), 1838-1921, author","http://id.loc.gov/authorities/names/n50036582","","","","","","","","","","","","","","","","","","","","","","Box 1, Folder 19.","","","","","1911 February 25","","Text","http://purl.org/dc/dcmitype/Text","letters (correspondence)","http://vocab.getty.edu/aat/300026879","","","","","Florissant Fossil Beds National Monument (Colo.)","http://id.loc.gov/authorities/subjects/sh2004003365","","","","","Naturalists--Colorado","http://id.loc.gov/authorities/subjects/sh85090273","","","","","","","","","Paleontology--Colorado--Teller County","http://id.loc.gov/authorities/subjects/sh85097123","","","","","","","","","","","","","","","https://ark.colorado.edu/ark:/47540/rq8n261051rj","narv_cockerellFlorissant_001_019_001.pdf","English","http://id.loc.gov/vocabulary/iso639-2/eng","","Finding aid: https://rmoa.unm.edu/docviewer.php?docId=cou2cockerell.xml","","","Material is believed to be in the public domain. However, other rights and restrictions may apply, such as privacy and publicity rights. User is responsible for compliance with all applicable laws. For information about copyright law, please see https://www.cusys.edu/DigitalLibrary/copyright.html.","","2","4847","narv_cockerellFlorissant_001_019_001.pdf","https://cudl.colorado.edu//luna/servlet/detail/CUB~11~11~2~147127","https://cudl.colorado.edu/MediaManager/srvr?mediafile=/MISC/CUB~11~11/4498/narv_cockerellFlorissant_001_019_001.pdf"
"Theodore Dru Alison Cockerell Papers","Letter from Isaac Bayley Balfour to Theodore Cockerell","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Text","http://purl.org/dc/dcmitype/Text","","","","","","","Florissant Fossil Beds National Monument (Colo.)","http://id.loc.gov/authorities/subjects/sh2004003365","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://ark.colorado.edu/ark:/47540/x55j7s07b301","narv_cockerellFlorissant_002_006_001.pdf","English","http://id.loc.gov/vocabulary/iso639-2/eng","","Finding aid: https://rmoa.unm.edu/docviewer.php?docId=cou2cockerell.xml","","","Material is believed to be in the public domain. However, other rights and restrictions may apply, such as privacy and publicity rights. User is responsible for compliance with all applicable laws. For information about copyright law, please see https://www.cusys.edu/DigitalLibrary/copyright.html.","","248","4847","narv_cockerellFlorissant_002_006_001.pdf","https://cudl.colorado.edu//luna/servlet/detail/CUB~11~11~248~147125","https://cudl.colorado.edu/MediaManager/srvr?mediafile=/MISC/CUB~11~11/4498/narv_cockerellFlorissant_002_006_001.pdf"
"Theodore Dru Alison Cockerell Papers","Letter from Isaac Bayley Balfour to Theodore Cockerell","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Text","http://purl.org/dc/dcmitype/Text","","","","","","","Florissant Fossil Beds National Monument (Colo.)","http://id.loc.gov/authorities/subjects/sh2004003365","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://ark.colorado.edu/ark:/47540/t65w6d6706nd","narv_cockerellFlorissant_002_006_003.pdf","English","http://id.loc.gov/vocabulary/iso639-2/eng","","Finding aid: https://rmoa.unm.edu/docviewer.php?docId=cou2cockerell.xml","","","Material is believed to be in the public domain. However, other rights and restrictions may apply, such as privacy and publicity rights. User is responsible for compliance with all applicable laws. For information about copyright law, please see https://www.cusys.edu/DigitalLibrary/copyright.html.","","249","4847","narv_cockerellFlorissant_002_006_003.pdf","https://cudl.colorado.edu//luna/servlet/detail/CUB~11~11~249~147123","https://cudl.colorado.edu/MediaManager/srvr?mediafile=/MISC/CUB~11~11/4498/narv_cockerellFlorissant_002_006_003.pdf"
"Theodore Dru Alison Cockerell Papers","Letter from Isaac Bayley Balfour to Theodore Cockerell","Balfour, Bayley, author","http://id.loc.gov/authorities/names/n2016180934","","","","","","","","","","","","","","","","","","","","","","Box 2, Folder 6.","","","","","1911 March 27","","Text","http://purl.org/dc/dcmitype/Text","letters (correspondence)","http://vocab.getty.edu/aat/300026879","","","","","Florissant Fossil Beds National Monument (Colo.)","http://id.loc.gov/authorities/subjects/sh2004003365","","","","","Naturalists--Colorado","http://id.loc.gov/authorities/subjects/sh85090273","","","","","","","","","Paleontology--Colorado--Teller County","http://id.loc.gov/authorities/subjects/sh85097123","","","","","","","","","","","","","","","https://ark.colorado.edu/ark:/47540/k15n6590h2b8","narv_cockerellFlorissant_002_006_005.pdf","English","http://id.loc.gov/vocabulary/iso639-2/eng","","Finding aid: https://rmoa.unm.edu/docviewer.php?docId=cou2cockerell.xml","","","Material is believed to be in the public domain. However, other rights and restrictions may apply, such as privacy and publicity rights. User is responsible for compliance with all applicable laws. For information about copyright law, please see https://www.cusys.edu/DigitalLibrary/copyright.html.","","5","4847","narv_cockerellFlorissant_002_006_005.pdf","https://cudl.colorado.edu//luna/servlet/detail/CUB~11~11~5~147121","https://cudl.colorado.edu/MediaManager/srvr?mediafile=/MISC/CUB~11~11/4498/narv_cockerellFlorissant_002_006_005.pdf"
"Theodore Dru Alison Cockerell Papers","Letter from R. S. Bassler to Theodore Cockerell","Bassler, Ray S. (Ray Smith), 1878- , author","http://id.loc.gov/authorities/names/n84119674","","","","","","","","","","","","","","","","","","","","","","Box 2, Folder 28.","","","","","1912 June 1","","Text","http://purl.org/dc/dcmitype/Text","letters (correspondence)","http://vocab.getty.edu/aat/300026879","","","","","Florissant Fossil Beds National Monument (Colo.)","http://id.loc.gov/authorities/subjects/sh2004003365","","","","","Naturalists--Colorado","http://id.loc.gov/authorities/subjects/sh85090273","","","","","","","","","Paleontology--Colorado--Teller County","http://id.loc.gov/authorities/subjects/sh85097123","","","","","","","","","","","","","","","https://ark.colorado.edu/ark:/47540/fv9z6x83m7vg","narv_cockerellFlorissant_002_028_001.pdf","English","http://id.loc.gov/vocabulary/iso639-2/eng","","Finding aid: https://rmoa.unm.edu/docviewer.php?docId=cou2cockerell.xml","","","Copyright and other restrictions may apply. User is responsible for compliance with all applicable laws. For information about copyright law, please see https://www.cusys.edu/DigitalLibrary/copyright.html.","","6","4847","narv_cockerellFlorissant_002_028_001.pdf","https://cudl.colorado.edu//luna/servlet/detail/CUB~11~11~6~147119","https://cudl.colorado.edu/MediaManager/srvr?mediafile=/MISC/CUB~11~11/4498/narv_cockerellFlorissant_002_028_001.pdf"
"Theodore Dru Alison Cockerell Papers","Letter from R. S. Bassler to Theodore Cockerell","Bassler, Ray S. (Ray Smith), 1878- , author","http://id.loc.gov/authorities/names/n84119674","","","","","","","","","","","","","","","","","","","","","","Box 2, Folder 28.","","","","","1912 July 17","","Text","http://purl.org/dc/dcmitype/Text","letters (correspondence)","http://vocab.getty.edu/aat/300026879","","","","","Florissant Fossil Beds National Monument (Colo.)","http://id.loc.gov/authorities/subjects/sh2004003365","","","","","Naturalists--Colorado","http://id.loc.gov/authorities/subjects/sh85090273","","","","","","","","","Paleontology--Colorado--Teller County","http://id.loc.gov/authorities/subjects/sh85097123","","","","","","","","","","","","","","","https://ark.colorado.edu/ark:/47540/4z5w5n30r5xz","narv_cockerellFlorissant_002_028_003.pdf","English","http://id.loc.gov/vocabulary/iso639-2/eng","","Finding aid: https://rmoa.unm.edu/docviewer.php?docId=cou2cockerell.xml","","","Copyright and other restrictions may apply. User is responsible for compliance with all applicable laws. For information about copyright law, please see https://www.cusys.edu/DigitalLibrary/copyright.html.","","7","4847","narv_cockerellFlorissant_002_028_003.pdf","https://cudl.colorado.edu//luna/servlet/detail/CUB~11~11~7~147117","https://cudl.colorado.edu/MediaManager/srvr?mediafile=/MISC/CUB~11~11/4498/narv_cockerellFlorissant_002_028_003.pdf"
"Theodore Dru Alison Cockerell Papers","Letter from R. S. Bassler to Theodore Cockerell","Bassler, Ray S. (Ray Smith), 1878- , author","http://id.loc.gov/authorities/names/n84119674","","","","","","","","","","","","","","","","","","","","","","Box 2, Folder 28.","","","","","1913 February 8","","Text","http://purl.org/dc/dcmitype/Text","letters (correspondence)","http://vocab.getty.edu/aat/300026879","","","","","Florissant Fossil Beds National Monument (Colo.)","http://id.loc.gov/authorities/subjects/sh2004003365","","","","","Naturalists--Colorado","http://id.loc.gov/authorities/subjects/sh85090273","","","","","","","","","Paleontology--Colorado--Teller County","http://id.loc.gov/authorities/subjects/sh85097123","","","","","","","","","","","","","","","https://ark.colorado.edu/ark:/47540/zd702826j3pf","narv_cockerellFlorissant_002_028_005.pdf","English","http://id.loc.gov/vocabulary/iso639-2/eng","","Finding aid: https://rmoa.unm.edu/docviewer.php?docId=cou2cockerell.xml","","","Copyright and other restrictions may apply. User is responsible for compliance with all applicable laws. For information about copyright law, please see https://www.cusys.edu/DigitalLibrary/copyright.html.","","8","4847","narv_cockerellFlorissant_002_028_005.pdf","https://cudl.colorado.edu//luna/servlet/detail/CUB~11~11~8~147115","https://cudl.colorado.edu/MediaManager/srvr?mediafile=/MISC/CUB~11~11/4498/narv_cockerellFlorissant_002_028_005.pdf"
"Theodore Dru Alison Cockerell Papers","Letter from F. A. Bather to Theodore Cockerell","Bather, Francis Arthur, 1863-1934, author","http://id.loc.gov/authorities/names/n2006050141","","","","","","","","","","","","","","","","","","","","","","Box 2, Folder 29.","","","","","1909 May 11","","Text","http://purl.org/dc/dcmitype/Text","letters (correspondence)","http://vocab.getty.edu/aat/300026879","","","","","Florissant Fossil Beds National Monument (Colo.)","http://id.loc.gov/authorities/subjects/sh2004003365","","","","","Naturalists--Colorado","http://id.loc.gov/authorities/subjects/sh85090273","","","","","","","","","Paleontology--Colorado--Teller County","http://id.loc.gov/authorities/subjects/sh85097123","","","","","","","","","","","","","","","https://ark.colorado.edu/ark:/47540/10732n19q2m2","narv_cockerellFlorissant_002_029_001.pdf","English","http://id.loc.gov/vocabulary/iso639-2/eng","","Finding aid: https://rmoa.unm.edu/docviewer.php?docId=cou2cockerell.xml","","","Material is believed to be in the public domain. However, other rights and restrictions may apply, such as privacy and publicity rights. User is responsible for compliance with all applicable laws. For information about copyright law, please see https://www.cusys.edu/DigitalLibrary/copyright.html.","","9","4847","narv_cockerellFlorissant_002_029_001.pdf","https://cudl.colorado.edu//luna/servlet/detail/CUB~11~11~9~147113","https://cudl.colorado.edu/MediaManager/srvr?mediafile=/MISC/CUB~11~11/4498/narv_cockerellFlorissant_002_029_001.pdf"
"Theodore Dru Alison Cockerell Papers","Letter from F. A. Bather to Theodore Cockerell","Bather, Francis Arthur, 1863-1934, author","http://id.loc.gov/authorities/names/n2006050141","","","","","","","","","","","","","","","","","","","","","","Box 2, Folder 29.","","","","","1909 November 8","","Text","http://purl.org/dc/dcmitype/Text","letters (correspondence)","http://vocab.getty.edu/aat/300026879","","","","","Florissant Fossil Beds National Monument (Colo.)","http://id.loc.gov/authorities/subjects/sh2004003365","","","","","Naturalists--Colorado","http://id.loc.gov/authorities/subjects/sh85090273","","","","","","","","","Paleontology--Colorado--Teller County","http://id.loc.gov/authorities/subjects/sh85097123","","","","","","","","","","","","","","","https://ark.colorado.edu/ark:/47540/k91x7d07s1cs","narv_cockerellFlorissant_002_029_002.pdf","English","http://id.loc.gov/vocabulary/iso639-2/eng","","Finding aid: https://rmoa.unm.edu/docviewer.php?docId=cou2cockerell.xml","","","Material is believed to be in the public domain. However, other rights and restrictions may apply, such as privacy and publicity rights. User is responsible for compliance with all applicable laws. For information about copyright law, please see https://www.cusys.edu/DigitalLibrary/copyright.html.","","10","4847","narv_cockerellFlorissant_002_029_002.pdf","https://cudl.colorado.edu//luna/servlet/detail/CUB~11~11~10~147111","https://cudl.colorado.edu/MediaManager/srvr?mediafile=/MISC/CUB~11~11/4498/narv_cockerellFlorissant_002_029_002.pdf"
